plaintext, ciphertext
HEVHWAUTUCFYFRZWHWDPZYVRDHJOKIUADKUJNKELOXDOQSVNPIEYJKJOZYCSJWQMZXPQJOAXYUPZKIKNYLYVQ, JGXJYCWVWEHAHTBYJYFRBAXTFJLQMKWCFMWLPMGNQZFQSUXPRKGALMLQBAEULYSOBZRSLQCZAWRBMKMPANAXS
MJVEIHDIVDENAXMMYTVBLVOFTBDCVNCWGTNM, GDPYCBXCPXYHURGGSNPVFPIZNVXWPHWQANHG
FUYWDNNORHJMKDFURSYWPVTXJSYVNBTSDUNRXJPWRRKOSNXUQETZCHNYIHGSDJAHEHRFPGZHKOUWSRIBSFANJPPRS, LAECJTTUXNPSQJLAXYECVBZDPYEBTHZYJATXDPVCXXQUYTDAWKZFINTEONMYJPGNKNXLVMFNQUACYXOHYLGTPVVXY
XWZBJBXRTDKCSJCYBHIOIFBRLGQIWWGIMAOSGZOSTWDQOTXOIFVQTOUKUHAQXNACHUPHZXQQEPRHWFONSJZMZEKPTXSDCWCVIK, EDGIQIEYAKRJZQJFIOPVPMIYSNXPDDNPTHVZNGVZADKXVAEVPMCXAVBRBOHXEUHJOBWOGEXXLWYODMVUZQGTGLRWAEZKJDJCPR
BMTKBPYMKCODLTEBFAPXGJSDGQOJIMYKQTHHQLQUVDUJOLYHVSPWCROSKSYCVCMYJRVKNE, ZKRIZNWKIAMBJRCZDYNVEHQBEOMHGKWIORFFOJOSTBSHMJWFTQNUAPMQIQWATAKWHPTILC
WYOIAGDLWZSWTUSHKKKGVUNCUUTTMRNPLPKNIKHDXMYBGAAPJBFNRSD, DFVPHNKSDGZDABZORRRNCBUJBBAATYUWSWRUPROKETFINHHWQIMUYZK
WVNJCYTFAGNTVZRXXHIIIIPOOMDPSCUCYBHYUUNBAKZGOOUGSMPXVNJKFUZNTXKTCOZRDLNBTKNGDNQXCECWCMHFJTXBTRAIEHYCNNUGIDSGFW, POGCVRMYTZGMOSKQQABBBBIHHFWILVNVRUARNNGUTDSZHHNZLFIQOGCDYNSGMQDMVHSKWEGUMDGZWGJQVXVPVFAYCMQUMKTBXARVGGNZBWLZYP
FJETOPSOPWCRAZCSNOCCFGLBRYFWLBESTSGWKCSQKAXIFIXJRJBRFGFXKGYKARSMAXJWU, CGBQLMPLMTZOXWZPKLZZCDIYOVCTIYBPQPDTHZPNHXUFCFUGOGYOCDCUHDVHXOPJXUGTR
YYYKKZHOUFABVKIMTVHLDQTIHTHAFMIFRTAUXQNAAJZGPESKDJQBSNITITBLECVSMDJMCYPKJRIEQPTSJAVLDQGVHWGULTVXVSTCKEDWJLPKNBQSUVZJJKJVXU, GGGSSHPWCNIJDSQUBDPTLYBQPBPINUQNZBICFYVIIRHOXMASLRYJAVQBQBJTMKDAULRUKGXSRZQMYXBARIDTLYODPEOCTBDFDABKSMLERTXSVJYACDHRRSRDFC
CSQVX, JZXCE
SZAJCOQKAMDNZOTBLDQPVZTVMWCBGPBVBDBGIENSIAKUZFJLOKHZHNTPJFTAZBXWQESCZAOLEVLIVBUHGMMTNFNRISXYDCSYGYJIPLGQRFVS, FMNWPBDXNZQAMBGOYQDCIMGIZJPOTCOIOQOTVRAFVNXHMSWYBXUMUAGCWSGNMOKJDRFPMNBYRIYVIOHUTZZGASAEVFKLQPFLTLWVCYTDESIF
UWXGBQLMAAWQYCVXHZFKBDBWFAFCQXFXOMCPCEWKEOMEHH, WYZIDSNOCCYSAEXZJBHMDFDYHCHESZHZQOEREGYMGQOGJJ
SRXWKMFXRGFLLLJWPUUWIYS, HGMLZBUMGVUAAAYLEJJLXNH
MQOJSPVTTEICJVFNMVSXYZWFBBNXSVPIIFGAWGHCP, QUSNWTZXXIMGNZJRQZWBCDAJFFRBWZTMMJKEAKLGT
GCAARYPIIMIVOFMMZJJFUQHNIQOCKCOCBSSIEAWKGRYVBTUICEKLDQNR, DZXXOVMFFJFSLCJJWGGCRNEKFNLZHZLZYPPFBXTHDOVSYQRFZBHIANKO
MOFAQISTLIIWUGS, KMDYOGQRJGGUSEQ
VPYFOLYPPMITEFGVECAUAUJUUSHBNADX, GAJQZWJAAXTEPQRGPNLFLFUFFDSMYLOI
QTNTCKLPUVVISJSVIDRTPLYVAFQJKKFPMNDIXWIBYHTIYNSHESKUDYVM, DGAGPXYCHIIVFWFIVQEGCYLINSDWXXSCZAQVKJVOLUGVLAFURFXHQLIZ
OYPSSASISBLBUTOZWODJAGHYGPOIVYTTXWENKPVHKDESHFJSLXMRCFHWLCSMFUMKIRLLBCFVSKIVJXBHETAKKOUIYPVWFQELEKQQPTTEVTZILPOFNTSGZCQXSUWMZSV, EOFIIQIYIRBRKJEPMETZQWXOWFEYLOJJNMUDAFLXATUIXVZIBNCHSVXMBSICVKCAYHBBRSVLIAYLZNRXUJQAAEKYOFLMVGUBUAGGFJJULJPYBFEVDJIWPSGNIKMCPIL
LHACLESTYSFZUJOITSTHBOQOBAVIJMUCKGCZISDG, NJCENGUVAUHBWLQKVUVJDQSQDCXKLOWEMIEBKUFI
QXXCESAYYDZZJCUHZGNXQZZNIRBZGPVDBXILUFKRRNUUGDDPLGFHJHSRSYHKIAPWMZMGBWXEMUMWZHQ, UBBGIWECCHDDNGYLDKRBUDDRMVFDKTZHFBMPYJOVVRYYKHHTPKJLNLWVWCLOMETAQDQKFABIQYQADLU
DFSMZLCAHRNCXGVWWMFUEQRBHALCEXFVFQJKNNQIU, ZBOIVHYWDNJYTCRSSIBQAMNXDWHYATBRBMFGJJMEQ
VL, KA
HQIQTNVDGLKQYVGPHMLTATWEVCBINFTQLWYEFJGWRCPLTFTBYARBOCPSJKOKEKDZCRHQPYTTRZJLJLAKXUKUIPEQROJEVWJAYVHEMAWZWSTYGJEMZPSYJLBULXTJF, UDVDGAIQTYXDLITCUZYGNGJRIPOVASGDYJLRSWTJEPCYGSGOLNEOBPCFWXBXRXQMPEUDCLGGEMWYWYNXKHXHVCRDEBWRIJWNLIURZNJMJFGLTWRZMCFLWYOHYKGWS
DNFOCMIHEMQTTNVDIZFGGARBNBGBBMMIIHKXUQIJDSBVMJ, BLDMAKGFCKORRLTBGXDEEYPZLZEZZKKGGFIVSOGHBQZTKH
FXAJNCDSILYJPCISJLQHXGLOBRSXTTEEUCVYGRTPKSBFWISKJIMQHSLRTMJSBSIVYBWSPYMKAHJHVIFZQDMWVMCFEVKAFPIHUOABBYZJSGUBOOEHAKTLVU, JBENRGHWMPCNTGMWNPULBKPSFVWBXXIIYGZCKVXTOWFJAMWONMQULWPVXQNWFWMZCFAWTCQOELNLZMJDUHQAZQGJIZOEJTMLYSEFFCDNWKYFSSILEOXPZY
SFBUQOSHKTPZQFLMSYHXTGDBEUFWYIWWBMONTNBRFJJAUCZVJVYZFVWT, CPLEAYCRUDZJAPVWCIRHDQNLOEPGISGGLWYXDXLBPTTKEMJFTFIJPFGD
UUDRDAZYBNNJGRYMGUFKODURTYVCVGTUOLUHTHLUHWCYJVNAYRDOLUUYXZOCDHLVLVZRJJUXCKVSVMUUJMZLIRDTQWRVBIVILLYOEZLYJAMYUG, VVESEBAZCOOKHSZNHVGLPEVSUZWDWHUVPMVIUIMVIXDZKWOBZSEPMVVZYAPDEIMWMWASKKVYDLWTWNVVKNAMJSEURXSWCJWJMMZPFAMZKBNZVH
JMKBCZDUBEIGXAWPRZIOOQOI, KNLCDAEVCFJHYBXQSAJPPRPJ
LNAJKCSVMCWBVZAPYDOLIAGZSEBTOUTUZZXHSYDUOCIZGQVZVFDYKDFWCWLIZNXFL, DFSBCUKNEUOTNRSHQVGDASYRKWTLGMLMRRPZKQVMGUARYINRNXVQCVXOUODARFPXD
ZWKFFXFWPHOWQTJEOQXEKQRXGHLAYHRWFWNUVEKPKBMBARXJMUMEVSLYOIWMMCLB, CZNIIAIZSKRZTWMHRTAHNTUAJKODBKUZIZQXYHNSNEPEDUAMPXPHYVOBRLZPPFOE
XPSWORMUCHZHNBWXVDNZTAGWLCEGQNETCVACYNSHBPJKQPP, XPSWORMUCHZHNBWXVDNZTAGWLCEGQNETCVACYNSHBPJKQPP
A, X
UCMGCUYIBYLDIJCSRFQIHMEFTBBXIEJFIOLNJVJMJXYNYSFAMCEMOAZURJIUZQBBWMJAHMBFFMMFRHIKAZACC, LTDXTLPZSPCUZATJIWHZYDVWKSSOZVAWZFCEAMADAOPEPJWRDTVDFRQLIAZLQHSSNDARYDSWWDDWIYZBRQRTT
D, C
QJEJQXKLAOQZGUNEGTQLLRNZLAACEBTCRAURIXFFGEAMXROCQACRJWDDLRAFGWXWXTCWJJIJCRDAHSPWTTOEVBL, BUPUBIVWLZBKRFYPREBWWCYKWLLNPMENCLFCTIQQRPLXICZNBLNCUHOOWCLQRHIHIENHUUTUNCOLSDAHEEZPGMW
JSGFPFNEIZVFMTBFNHGUFXDELRORG, HQEDNDLCGXTDKRZDLFESDVBCJPMPE
POJIRRQMCFWIHLIZ, BAVUDDCYORIUTXUL
OVVXPBRDHGIPBOLTJITDRVUDZGHWXJIEFEXMZXCWSHYBVPBRKVDRBUR, HOOQIUKWAZBIUHEMCBMWKONWSZAPQCBXYXQFSQVPLARUOIUKDOWKUNK
LQMMIQCISVTJSOYEHYLCZVHOABJPCBVSPAQJQNNYBACAXWC, NSOOKSEKUXVLUQAGJANEBXJQCDLREDXURCSLSPPADCECZYE
OSWDSYGUGHVERFTODXWCDJKYUOUPXCWIPMEOSTNGDOVQTYAVCVYJMDWLXGHUTMRMMJFBKPJPSMWXUZODSITYBMIKPEGGIIILNWEPOZPSHINJTNNOZQJHPXAWQGI, RVZGVBJXJKYHUIWRGAZFGMNBXRXSAFZLSPHRVWQJGRYTWBDYFYBMPGZOAJKXWPUPPMIENSMSVPZAXCRGVLWBEPLNSHJJLLLOQZHSRCSVKLQMWQQRCTMKSADZTJL
DPKSIHLJKCRNJBVVYBCLNTZCRSAGVEJTGHKHIZJNB, COJRHGKIJBQMIAUUXABKMSYBQRZFUDISFGJGHYIMA
MAZYEAVZTRDLBELXUI, CQPOUQLPJHTBRUBNKY
JUJPOCZGQXMQMPKUGDMBINXGGFAQFIHFGOBCCHGEZSDPOGMTAJTE, GRGMLZWDNUJNJMHRDAJYFKUDDCXNCFECDLYZZEDBWPAMLDJQXGQB
HTJDXZKVZNERTVNTYQEVBLJCNNCZLERWFLEAUV, YKAUOQBMQEVIKMEKPHVMSCATEETQCVINWCVRLM
AOXLGCFLCVNXMEXVRNJQIPVNGQYPJSVESOZYDFOYVH, QENBWSVBSLDNCUNLHDZGYFLDWGOFZILUIEPOTVEOLX
JSNLCCJRKGQGTFKAATWNNHWWGBK, GPKIZZGOHDNDQCHXXQTKKETTDYH
FRFQQRJLGWLFNQKLDGVKLZJMJFDFVTPDDCRMRGTGYXUDAOMLHKEWIPHIARWICBSFSEKCBMMUSLICKIQHWPSU, ZLZKKLDFAQFZHKEFXAPEFTDGDZXZPNJXXWLGLANASROXUIGFBEYQCJBCULQCWVMZMYEWVGGOMFCWECKBQJMO
SZTLMJWYXDLDVKTYXDUNHLOXSBOSJQDXPEZMGKTEIWRNLMDQRKTQOLMCYQJLHBIKHPOGXAIDXRMUXLEPXOXKGACXMXJIG, BICUVSFHGMUMETCHGMDWQUXGBKXBSZMGYNIVPTCNRFAWUVMZATCZXUVLHZSUQKRTQYXPGJRMGAVDGUNYGXGTPJLGVGSRP
HOAZJKASALJYHEHRFMWRQUQAUYITOAHTCSOUTNTLHHBQZGVWBOHCUNTXHYKNAGQPIRTEHDZDEFJEZYPAICZLVXUWXK, DKWVFGWOWHFUDADNBISNMQMWQUEPKWDPYOKQPJPHDDXMVCRSXKDYQJPTDUGJWCMLENPADZVZABFAVULWEYVHRTQSTG
QXOSAPSGYQDKXT, TARVDSVJBTGNAW
VAHPAQMIKJUTQQLXMPCQGRRJPNTMAVKOL, FKRZKAWSUTEDAAVHWZMAQBBTZXDWKFUYV
TMNCBCSFAOVIHSIMEWGLXYJLQZIQKRFCUIKOVHIUZBCSUUQIKJMRGEWPFTFWNNYGZBQPTYREARUNY, SLMBABREZNUHGRHLDVFKWXIKPYHPJQEBTHJNUGHTYABRTTPHJILQFDVOESEVMMXFYAPOSXQDZQTMX
CWEFQXBNHLCMDRLVCBEEQJXDHHQJLUASHCPBQDTBHFWUHGSBQSUXOYGBUCQRWZJPWNJMCPRENLLULZHYIIWWNDGGEXVS, CWEFQXBNHLCMDRLVCBEEQJXDHHQJLUASHCPBQDTBHFWUHGSBQSUXOYGBUCQRWZJPWNJMCPRENLLULZHYIIWWNDGGEXVS
CJNACHZMFPYRWQYRDXAJGTZD, AHLYAFXKDNWPUOWPBVYHERXB
USGAVUYXXFCACHEACHHBYOHNEBUNUOSCTASMORCGNDFMURQGZVNPHAUCFCRROGRSH, SQEYTSWVVDAYAFCYAFFZWMFLCZSLSMQARYQKMPAELBDKSPOEXTLNFYSADAPPMEPQF
WLVEGAYJYJNPEUC, JYIRTNLWLWACRHP
OAOZNFLMDWUNHGGBSVKZVIOYEXKTBZASQIBFRSDKAIHEGKGLWOLDZMKHDLZDPCKUSALLWYUVGVVKWYJTAAMOJPMEPHYOFJRLYJKNWBLDSSPDUXHM, EQEPDVBCTMKDXWWRILAPLYEOUNAJRPQIGYRVHITAQYXUWAWBMEBTPCAXTBPTFSAKIQBBMOKLWLLAMOZJQQCEZFCUFXOEVZHBOZADMRBTIIFTKNXC
RKBZZEEWSSJEUGYRKNFELHUITFDEJLGHXRLCKFJZRAHQMKGYQHZTKCDRJVQQSLSBIUHRNNXLGQUMHECQOXGWQHHDAAEAWZOANGF, XQHFFKKCYYPKAMEXQTLKRNAOZLJKPRMNDXRIQLPFXGNWSQMEWNFZQIJXPBWWYRYHOANXTTDRMWASNKIWUDMCWNNJGGKGCFUGTML
VXODKFPCIQQSWKCCUQEXELBGHRJEDTLPWTVESCSCTUFEVVCWWIFCTR, RTKZGBLYEMMOSGYYQMATAHXCDNFAZPHLSPRAOYOYPQBARRYSSEBYPN
ZUFEIREQNHPLCQFBZYXERQSYOFWQNKIHAXCWWOGTCPURB, SNYXBKXJGAIEVJYUSRQXKJLRHYPJGDBATQVPPHZMVINKU
NCHYBYMIFVICJEZLRVKJOIMDWDOGCBMBQDXTSLNAVZVGGKDIKOIEZKEZOZRDZKLTKKNXKRLZPIRJJMUHLXMRBZWJXPJBB, QFKBEBPLIYLFMHCOUYNMRLPGZGRJFEPETGAWVOQDYCYJJNGLNRLHCNHCRCUGCNOWNNQANUOCSLUMMPXKOAPUECZMASMEE
JCWKIRHCFWFCGCOLENLNOJCUITRGUADKRNEAABGBRPXYOAHIVA, LEYMKTJEHYHEIEQNGPNPQLEWKVTIWCFMTPGCCDIDTRZAQCJKXC
VYEOWAFBHMGXPVXLMXJJW, JMSCKOTPVAULDJLZALXXK
BBWDSRFFUHGFQVJDAEXGRMFWBIFSIIVZMTJXOEDAICVMUDGKUTLCUWKMCPRKBRWDTO, DDYFUTHHWJIHSXLFCGZITOHYDKHUKKXBOVLZQGFCKEXOWFIMWVNEWYMOERTMDTYFVQ
YKRGGZUXWKEF, FRYNNGBEDRLM
EZFPLNMBBWZLRYOJPQZNJCDKIFASFUYXZVIMACSEDKVMOBUXNOZFWSGCOOJESTBWOWHWUZWMXXGAFPDSCOWZIJAORFAPNMSIRAXKLCCZGUATEDODKMPJJAXJW, FAGQMONCCXAMSZPKQRAOKDELJGBTGVZYAWJNBDTFELWNPCVYOPAGXTHDPPKFTUCXPXIXVAXNYYHBGQETDPXAJKBPSGBQONTJSBYLMDDAHVBUFEPELNQKKBYKX
NSBOPXEWPDIIVHESKHMDLANQHIEPPVMUFMCGJLUNYOPGVDEYDVOAYPRXJXVJWQHRQCMKNOONCWWSZFAZWIAOHLTWWJE, EJSFGOVNGUZZMYVJBYDUCREHYZVGGMDLWDTXACLEPFGXMUVPUMFRPGIOAOMANHYIHTDBEFFETNNJQWRQNZRFYCKNNAV
EUIOMOGNIFCSQGBKITYMALGLSCMMYYCUFWYVQHBLLIMVAWZCJXNUVVBAYZDYENIWCQLSDFATCGCGCSVXGNJXH, IYMSQSKRMJGWUKFOMXCQEPKPWGQQCCGYJACZULFPPMQZEADGNBRYZZFECDHCIRMAGUPWHJEXGKGKGWZBKRNBL
GOVZUWKORCNCESDAVNSVDEVYCYBMIRZUESPVKGIGPBVJFNIOOVPFXUMDQLCMUPGMLIFL, NVCGBDRVYJUJLZKHCUZCKLCFJFITPYGBLZWCRNPNWICQMUPVVCWMEBTKXSJTBWNTSPMS
IFOLFVCHIQISOSRLBNXZUNUUTWYFAVQVAGUGFHWBXLUXQCXNBLVDBYDYRMQNGTPQ, VSBYSIPUVDVFBFEYOAKMHAHHGJLSNIDINTHTSUJOKYHKDPKAOYIQOLQLEZDATGCD
RMBBQIHGHUGWGYRTZOQRUZKOUCLYWMEWNAWCSZIGFZYNGGEMRSJMJZXGCDPDWTXYNJOLDCWCHZPOSNWIGRS, MHWWLDCBCPBRBTMOUJLMPUFJPXGTRHZRIVRXNUDBAUTIBBZHMNEHEUSBXYKYROSTIEJGYXRXCUKJNIRDBMN
LFKEJJSHQALBHWQAEDXCD, YSXRWWFUDNYOUJDNRQKPQ
BSOXPXGGDWMXIMYOLUYW, NEAJBJSSPIYJUYKAXGKI
QFGOQQTQMRYREXCRVAOXAGCQHTPLOLNNESTOZOWLYITLDASYDULUZWZJVC, HWXFHHKHDIPIVOTIMRFORXTHYKGCFCEEVJKFQFNCPZKCURJPULCLQNQAMT
YMH, LZU
ENLMSLPAHMJCGXPAGCK, MVTUATXIPURKOFXIOKS
ITWZNQNJKONEVRVWNOTXGYWXDYJVLAYCUJTHDQJXBBXVEQIRXTICWCTIRZVQKSMTHUTJIJOAOHZDL, FQTWKNKGHLKBSOSTKLQUDVTUAVGSIXVZRGQEANGUYYUSBNFOUQFZTZQFOWSNHPJQERQGFGLXLEWAI
QBPPKFAKVHJVSCPRDEENHKVHNFWVFSOYMWZNJEMWVE, PAOOJEZJUGIURBOQCDDMGJUGMEVUERNXLVYMIDLVUD
CRSEUBVOVQLICRWIWORFGYQWHKRCTNEPXBRTQLJJMLJLPONKR, VKLXNUOHOJEBVKPBPHKYZRJPADKVMGXIQUKMJECCFECEIHGDK
JKTUJBTTWLHXNQINZBLGBUXJOUEUTONPWAPFSALVBGIRDXCKINCRIVRCHJJAQOQKFTSERPMWIORIKAAYFHDNIOSDVPMEKBPPVKKHVNKWZSGBISQBDVAYTLPZL, OPYZOGYYBQMCSVNSEGQLGZCOTZJZYTSUBFUKXFQAGLNWICHPNSHWNAWHMOOFVTVPKYXJWURBNTWNPFFDKMISNTXIAURJPGUUAPPMASPBEXLGNXVGIAFDYQUEQ
HNPE, BHJY
VL, DT
TGJQLJXNFJWMOBARLPAKGWTXOTRCQODQESUBPOISNBJEAMTDWUZZYRKTUIWYVDGYJKHUTQNDATFYUFFWXHCYIEFPSBOJQAFBNORCNSCLY, DQTAVTHXPTGWYLKBVZKUQGDHYDBMAYNAOCELZYSCXLTOKWDNGEJJIBUDESGIFNQITUREDAXNKDPIEPPGHRMISOPZCLYTAKPLXYBMXCMVI
XSAFUTZFUV, SNVAPOUAPQ
FAQEKUGSCYFJPZKQEILVRRVGPQXTQWFCSXXLEMDGBIGZCTHMWOKGVORZWEHETDPILGYYCMORIOXCTQOOTRCVNXOGZDEPNGIGE, GBRFLVHTDZGKQALRFJMWSSWHQRYURXGDTYYMFNEHCJHADUINXPLHWPSAXFIFUEQJMHZZDNPSJPYDURPPUSDWOYPHAEFQOHJHF
DSZCXLNHJMPVRXUQSYNWKACGTODYCSYJPCJHUY, HWDGBPRLNQTZVBYUWCRAOEGKXSHCGWCNTGNLYC
ZVYZRIFHTHLFLCPZXVXUCQOBHQYSGAOUUOMPAZDQRRMDTGVNECHPGUDLMYKBDCJTCWIAKSCQDMWXJNNLJZJBD, QMPQIZWYKYCWCTGQOMOLTHFSYHPJXRFLLFDGRQUHIIDUKXMEVTYGXLUCDPBSUTAKTNZRBJTHUDNOAEECAQASU
VIEIDLSOFTQMGIBAPJPAFQMNCNLGWBGFFFTLIDKWNECLVIDEHTKRGUDLYFNSDRQTTWYCLXYGLWNWQVJSGP, ZMIMHPWSJXUQKMFETNTEJUQRGRPKAFKJJJXPMHOARIGPZMHILXOVKYHPCJRWHVUXXACGPBCKPARAUZNWKT
YSHBNCCAVPLLYCVRLRRNPHSMTVVHHYQKEOQRQAYTJLCFUMXJTSQACTSVBVYKNICSPJWXXLPAACU, GAPJVKKIDXTTGKDZTZZVXPAUBDDPPGYSMWYZYIGBRTKNCUFRBAYIKBADJDGSVQKAXREFFTXIIKC
VAXLTVKHECULWYCHZPRSEYBWRTIEPOOSTISUBIDJQGBARDGGYCVLCOYGOWLPCEEKSSGGVCIYJBPXBAEECTKDDTZJVGXNYLESHMOMTBFANMVMUNPDPTICNPXGFHWPRDU, XCZNVXMJGEWNYAEJBRTUGADYTVKGRQQUVKUWDKFLSIDCTFIIAEXNEQAIQYNREGGMUUIIXEKALDRZDCGGEVMFFVBLXIZPANGUJOQOVDHCPOXOWPRFRVKEPRZIHJYRTFW
NKBBFNCBSUVNYAXRQYYTLRXOQFHBAP, ZWNNRZONEGHZKMJDCKKFXDJACRTNMB
JJPQNQISTVMNEBUDXSGCXOZQJBEBOWSXBBQRKRKYGGELBDWUEG, YYEFCFXHIKBCTQJSMHVRMDOFYQTQDLHMQQFGZGZNVVTAQSLJTV
AVBDUBCKDPNMDGRNFQDVQHVOXTDKGMBUJTUAEIHFRZQVAIPUWDQIWCXFYXJGPDHYVUJGWFRZBDKFAZRCIRVNITRUYIGFJQOKQVZXKKOLRFSTTWLFEFOZNEPKLTT, RMSULSTBUGEDUXIEWHUMHYMFOKUBXDSLAKLRVZYWIQHMRZGLNUHZNTOWPOAXGUYPMLAXNWIQSUBWRQITZIMEZKILPZXWAHFBHMQOBBFCIWJKKNCWVWFQEVGBCKK
MYBSFGLAUHCEOJZUKXUKHXUFMYSZCGYASKCQEMIGMLKHQZUBFWVT, IUXOBCHWQDYAKFVQGTQGDTQBIUOVYCUWOGYMAIECIHGDMVQXBSRP
URLTQWYBPQYGPG, IFZHEKMPDEMUDU
DAIOSSVXCFAKYEYOJARIVUCLXFSRIPQYWI, IFNTXXACHKFPDJDTOFWNAZHQCKXWNUVDBN
GYJJPUQOLQLGNAUUHENPTCMLCIXXVOTONAXDCQWXEASUJCWCESOVQZDGTJOGUH, KCNNTYUSPUPKREYYLIRTXGQPGMBBZSXSREBHGUABIEWYNGAGIWSZUDHKXNSKYL
ELXRIWJWJKSSYAFSWNJGCLRFRPCEJVAFDXHRGPTWEFYTXRHCNKNXBYAACYECNEZQDZOVNTJCUBPSPFEXINHTGZCQSMSTYREDKNEEMBEMFIUAJCPQBHSVBTC, BIUOFTGTGHPPVXCPTKGDZIOCOMZBGSXCAUEODMQTBCVQUOEZKHKUYVXXZVBZKBWNAWLSKQGZRYMPMCBUFKEQDWZNPJPQVOBAHKBBJYBJCFRXGZMNYEPSYQZ
VLEFWTQFDBDRRROTCGOSVQMTDJNESMOAWXRWNADFZYVHPEHYNTWRUQ, OEXYPMJYWUWKKKHMVZHLOJFMWCGXLFHTPQKPGTWYSROAIXARGMPKNJ
XIFTQXIVRZOCFMQSRYBLBKGMJBOVZCBVOUEQZTUL, ALIWTALYUCRFIPTVUBEOENJPMERYCFEYRXHTCWXO
EOGDKSJHJGXHWLGIQGXNVNNAZAQNYPCFONSEIJLNPYARDHXRTFURKANENWQAJKQZJXIOVPHBAVMWXWADZBNTVAISNOMXINOGYFDSVPDVTMZAQYKIWSDHKISGRSXG, ISKHOWNLNKBLAPKMUKBRZRREDEURCTGJSRWIMNPRTCEVHLBVXJYVOERIRAUENOUDNBMSZTLFEZQABAEHDFRXZEMWRSQBMRSKCJHWZTHZXQDEUCOMAWHLOMWKVWBK
VCXSFUZWMSTGRV, NUPKXMROEKLYJN
OPUPFUTUPURZFLYYSJPGFNOUQGGW, IJOJZONOJOLTZFSSMDJAZHIOKAAQ
SGJOEIETDMWPUDCOELOKQXFUNM, VJMRHLHWGPZSXGFRHORNTAIXQP
WZXQXBRZURRLISJGQMMBZARIRORKKIOSWYQUXRPAPMLFOGZZMFHZYPUTLUSZBEZXBXAVFJQOYQTIQBZHEHCLIQJIEBVJ, QTRKRVLTOLLFCMDAKGGVTULCLILEECIMQSKORLJUJGFZIATTGZBTSJONFOMTVYTRVRUPZDKISKNCKVTBYBWFCKDCYVPD
RFVTHWZDZJOHOHIRDGRDKGLVPGTTYL, WKAYMBEIEOTMTMNWILWIPLQAULYYDQ
ZWOFRDYXWXIUAIDKEEIPBQJKUBPVOCWRJBFKJZJYVXTVCWFJZYDSHEZQMPUNCMJKXZWIHSYSUGFAEIIXTDETZOEH, DASJVHCBABMYEMHOIIMTFUNOYFTZSGAVNFJONDNCZBXZGAJNDCHWLIDUQTYRGQNOBDAMLWCWYKJEIMMBXHIXDSIL
CKKDHP, BJJCGO
TNBDIDLSRLKRXJNCZALOEYKWXEZNLQVYSUAAWQURNNNXXPOEGPDWAWKZTVMZZYILQQODBIDRHLJHMSCA, QKYAFAIPOIHOUGKZWXILBVHTUBWKINSVPRXXTNROKKKUUMLBDMATXTHWQSJWWVFINNLAYFAOEIGEJPZX
TRFJMGQUFJWKVZVPBYLPXWEDEMPCI, FDRVYSCGRVIWHLHBNKXBJIQPQYBOU
UWSZXPWOOOIWTZQXVFPGWRRMKECXJKXAKTAXGEMUFXUDYBFO, RTPWUMTLLLFTQWNUSCMDTOOJHBZUGHUXHQXUDBJRCURAVYCL
TZJGCBZPSJPJBTPEETGLBLJZLFVOIBCNGKQTFJFEOMTUVFGWVAZDDTJPGBKAZTDURANUNTQEFFVOMFHUWROMMGC, EKURNMKADUAUMEAPPERWMWUKWQGZTMNYRVBEQUQPZXEFGQRHGLKOOEUARMVLKEOFCLYFYEBPQQGZXQSFHCZXXRN
ESDGHHNTCTAPIHLQMVEDHJFKEUMPQGNIZUCMMHUZDWFIJSQLHKNQSDFKHFCCZNXFFYBAAPSXAOOXXDIXQVBOEDRJBEZGQGBP, VJUXYYEKTKRGZYCHDMVUYAWBVLDGHXEZQLTDDYLQUNWZAJHCYBEHJUWBYWTTQEOWWPSRRGJORFFOOUZOHMSFVUIASVQXHXSG
BMPXNRPYBZZEEYZSTFFNGDAJYHCFOCSROGL, HSVDTXVEHFFKKEFYZLLTMJGPENILUIYXUMR
MDGKMZLSOBACDUNMWRNWJVQOGCTMKIMOHIEZBQGGLWQC, LCFJLYKRNAZBCTMLVQMVIUPNFBSLJHLNGHDYAPFFKVPB
HTKQKTNUOKVGZTTSAFFXSZJLMBQSLQYJGWMXEBWGCVXIKQNSXGGDANUIDQCBWLFLGGYCYZDZMNYRDFOTVEEAWQZAQRRTXDJIGOEOUBCGXVPQK, FRIOIRLSMITEXRRQYDDVQXHJKZOQJOWHEUKVCZUEATVGIOLQVEEBYLSGBOAZUJDJEEWAWXBXKLWPBDMRTCCYUOXYOPPRVBHGEMCMSZAEVTNOI
RHILTVSPOWLMVSYLLNUDMRSWYUGIKTMPMCCEAVWWNYVTVMSRDKRCLAVBMHSDUVTHMFSZBPSVUPHUIPMBYVJKMG, AQRUCEBYXFUVEBHUUWDMVABFHDPRTCVYVLLNJEFFWHECEVBAMTALUJEKVQBMDECQVOBIKYBEDYQDRYVKHESTVP
WNHLOOHHLZVSHAZCW, EVPTWWPPTHDAPIHKE
RXYIQIWQQGBJNAWYSNDETIQ, KQRBJBPJJZUCGTPRLGWXMBJ
QZFALQAUHQIZKJLTFPTIGLGNRVYQNWJISDQLJTYZFVC, RAGBMRBVIRJALKMUGQUJHMHOSWZROXKJTERMKUZAGWD
